,102
a,678
a-piece,1
abide,2
able,1
about,100
about!”,1
about,”,1
above,3
absence,1
absurd,2
accept,1
acceptance,1
accepted,2
accepting,1
access,10
accessed,1
accessible,1
accident,2
accidentally,1
accordance,2
account,1
accounting,1
accounts,1
accusation!”,1
accustomed,1
ache!”,1
across,5
act,1
active,2
actual,1
actually,1
ada,”,1
added,23
adding,1
addition,1
additional,3
additions,1
address,1
addressed,2
addresses,1
addressing,1
adjourn,1
adoption,1
advance,2
advantage,2
advantage,”,1
adventures,9
adventures.”,1
adventures—beginning,1
advice,3
advisable,1
advisable—’”,1
advise,1
affair,1
affectionately,1
afford,1
afore,1
afraid,11
afraid,”,1
after,40
after-time,1
afterwards,1
afterwards.”,1
again,68
again!”,7
again,”,1
again.”,2
again:—,2
again?”,2
against,10
again—‘_before,1
age,4
agent,1
ago,2
agony,1
agree,11
agreed,1
agreement,18
ah,1
air,14
airs,1
alarm,2
alarmed,1
alas,4
alice,383
alice!”,1
alice)—“and,1
alice’s,17
alive,2
alive!”,1
all,186
all!”,1
all,”,3
all.”,2
all?”,2
allow,3
almost,8
alone,4
alone!”,1
along,5
along—“catch,1
aloud,5
already,3
also,4
alteration,1
altered.”,1
alternate,1
alternately,1
altogether,5
always,12
am,15
among,12
an,61
ancient,1
and,857
and—oh,2
anger,2
angrily,9
angry,5
animal,1
animals,4
animal’s,1
ann,3
ann!”,1
annoy,1
annoyed,”,1
another,22
answer,8
answer?”,1
answered,4
answers.”,1
antipathies,1
anxious,3
anxiously,14
any,74
any,”,1
anyone,5
anything,20
anywhere,3
appealed,1
appear,3
appearance,1
appeared,8
appearing,2
appears,1
applause,1
apples,2
applicable,3
apply,1
approach,1
arch,1
archbishop,2
arches,4
archive,13
are,67
are!”,1
are,”,1
argue,1
argued,1
argument,4
arguments,1
arise,1
arithmetic—ambition,1
arm,12
arm-chair,1
arm-in-arm,1
arms,6
around,3
arranged,1
array,1
arrived,1
arrow,1
arthur,1
as,264
as-is,1
ascii,2
ashamed,2
ask,10
ask.”,1
askance—,1
asked,17
asking,5
asleep,7
asleep,”,1
assembled,2
assistance,1
associated,8
at,218
at!’,1
ate,1
atheling,1
atom,2
attached,1
attempt,1
attempted,1
attempts,1
attended,1
attending,2
attending!”,1
attends,1
audibly,1
australia?”,1
author,1
authority,2
available,2
avoid,1
away,24
away!”,2
away,”,1
away--you,1
awfully,1
axes,”,1
axis—”,1
a—i’m,1
a—”,1
b,2
baby,11
baby?”,1
baby—the,1
back,35
back!”,2
back-somersault,1
backs,1
bad,2
bag,1
baked,1
balanced,1
balls,1
bank,2
banks,1
bank—the,1
banquet—,1
bark,2
barking,1
barley-sugar,1
barrowful,2
based,2
bat,2
bat?”,1
bathing,1
bats,3
bats?”,1
bawled,1
be,158
be!”,1
be,”,3
be.”,1
be?”,2
beak—,1
bear,1
bear?—mind,1
beast,1
beasts,2
beat,4
beating,2
beautiful,11
beautifully,2
beautify,1
beauti—ful,1
beau—ootiful,4
became,2
because,13
become,5
becoming,1
bed!”,1
beds,1
bee,”,1
been,38
before,37
before,”,3
before.”,1
beg,8
began,57
began:—,1
begged,1
begin,8
begin.”,3
begin?”,1
beginning,12
beginning!”,1
beginning,”,1
begins,4
begun,6
begun.”,1
beheaded,1
beheaded!”,2
beheading,1
behind,12
behind?”,1
being,19
believe,8
believe.”,1
believed,1
belong,1
belongs,2
beloved,1
below,5
below!”,1
belt,1
bend,2
bent,1
besides,3
best,12
better,11
better,”,1
better.”,1
better;”,1
between,6
be’—or,1
bill,10
bill!”,1
bill,”,2
bill’s,3
binary,1
bird,1
bird,”,1
birds,9
birthday,1
bit,12
bit!”,1
bit,”,2
bit.”,1
bite,1
bite,”,1
bitter—and—and,1
blacking,1
blades,1
blame,1
blasts,2
bleeds,1
blew,2
blow,2
blown,1
blows,1
blue,1
body,2
boldly,1
bone,1
bones,1
book,5
book,”,2
book-shelves,1
books,1
boon,1
boots,3
bore,1
both,15
bother,1
bottle,10
bottom,4
bough,1
bound,3
bowed,4
bowing,1
box,3
boxed,1
box—,1
boy,2
boy—and,1
brain,1
branch,1
branches,2
brass,1
brave,1
breach,2
bread-and-butter,5
bread-and-butter—”,1
bread-knife.”,1
break,2
breath,3
breath.’,1
breathe,1
breathe.”,1
breathe’!”,1
breeze,1
bright,7
bright-eyed,1
brightened,2
bring,2
bringing,3
bristling,1
broke,2
broken,6
brother’s,1
brought,3
brown,2
brush,1
brushing,1
burn,2
burning,1
burnt,1
burst,1
bursting,1
busily,4
business,4
business!”,2
business,”,1
business?”,1
busy,2
but,128
butter,2
butter,”,1
buttercup,1
buttered,1
butterfly,1
buttons,1
by,84
by—the,1
c,4
cackled,1
cake,3
cakes,2
cakes,”,1
calculate,1
calculated,1
call,5
called,15
calling,1
calmly,1
came,40
camomile,1
can,41
can,”,1
can;—but,1
canary,1
candle,3
cannot,5
canterbury,1
canvas,1
can—”,1
can’t,27
capering,1
capital,4
card,1
cardboard,1
cards,2
cards!”,1
care,4
carefully,3
cares,2
carried,4
carrier,”,1
carroll,3
carry,2
carrying,2
cart-horse,1
cartwheels,1
case,4
case,”,1
cat,33
cat,”,2
catch,3
catching,2
caterpillar,28
caterpillar’s,1
cats,10
cats!”,1
cats.”,1
cats?”,1
cattle,1
cat’s,2
caucus-race,2
caucus-race.”,1
caucus-race?”,1
caught,3
cauldron,2
cause,5
caused,2
cautiously,3
cease,1
ceiling,1
centre,1
certain,5
certainly,10
certainly,”,3
chains,1
chance,4
chanced,1
change,13
changed,8
changes,2
changing,2
chapter,24
character,2
charge,6
charges,2
charitable,1
charities,1
chatte?”,1
cheap,1
cheated,1
check,4
checked,3
checks,1
cheeks,1
cheered,3
cheerfully,1
cherry-tart,1
cheshire,6
chief,1
child,6
child!”,2
child,”,1
child-life,1
child?”,1
childhood,1
children,10
chimney,4
chimney!”,1
chimney?—nay,1
chimneys,1
chin,7
choice,1
choice!”,1
choke,1
choked,3
choking,1
choose,1
choosing,1
chorus,5
chose,1
chose,”,1
christmas.”,1
chrysalis—you,1
chuckled,1
circle,1
circumstances,1
city,1
civil,3
claim,1
clamour,1
clapping,1
clasped,1
classics,1
claws,2
clean,1
clear,2
cleared,1
clearer,1
clearly,1
clearly,”,1
clever,1
clever?”,1
climb,1
clinging,1
clock,2
close,13
closed,2
closely,1
closer,1
clubs,1
coast,1
coaxing,2
codes,1
coils.”,1
cold,1
collected,2
collection,4
come,29
comes,2
comfits,2
comfort,1
comfortable,1
comfortably,1
coming,7
coming!”,1
commercial,1
committed,1
common,1
commotion,1
company,1
compilation,1
complained,1
complaining,1
completely,1
compliance,5
comply,6
complying,3
compressed,1
computer,2
computers,2
concept,2
concerning,2
concert,1
concert!”,1
concluded,2
conclusion,2
condemn,1
conduct,1
confirmation,1
confirmed,1
confused,4
confusing,2
confusing.”,1
confusion,5
conger-eel,1
conqueror,1
conqueror.”,1
conquest,1
consented,1
consequential,1
consider,1
considerable,2
considered,3
considering,3
constant,3
consultation,1
contact,3
contain,2
containing,1
contempt,1
contemptuous,1
contemptuously,2
content,1
contents,1
continued,9
contract,1
contradicted,1
contributions,2
conversation,9
conversations,1
conversations?”,1
convert,1
cook,13
cool,2
copied,2
copies,7
copy,12
copying,4
copyright,19
corner,3
corners,1
corner—no,1
corporation,1
corrupt,1
cost,4
costs,2
could,78
couldn’t,9
counting,1
countries,1
country,5
couple?”,1
couples,1
courage,3
course,18
course,”,5
course.”,1
course?”,1
course—‘_i,1
court,15
court!”,1
court,”,1
court_.”,1
courtiers,2
coward!”,1
crab,3
crash,2
crash)—“now,1
crashed,1
crawled,1
crawling,1
crazy!”,1
created,2
creating,4
creation,1
creature,4
creatures,8
creatures,”,1
credit,1
creep,1
crept,1
cried,20
cries,1
crimson,2
critical,1
crocodile,1
croquet,3
croquet-ground,4
croquet.”,2
croquet?”,1
croqueted,1
croqueting,1
cross,1
cross-examine,2
crossed,3
crossly,1
crouched,1
crowd,4
crowded,5
crown,3
crumbs,1
crumbs,”,1
crumbs.”,1
cry,3
crying,2
cucumber-frame,1
cucumber-frames,1
cunning,1
cup,1
cup,”,1
cupboards,2
cur,1
curiosity,5
curious,17
curious!”,1
curious.”,1
curiouser!”,1
curled,2
curls,1
curly,1
currants,1
current,1
curtain,1
curtsey,1
curtseying,1
curving,1
cushion,2
custard,1
custody,2
cut,5
cutting,”,1
d,1
d,”,1
dainties,1
daisies,1
daisy-chain,1
damage,2
damaged,1
damages,4
dance,11
dance,”,1
dance?”,1
dancing,1
dancing.”,1
dare,5
daresay,1
dark,3
darkness,1
data,1
date,3
dates,1
daughter,1
david,1
day,21
day!”,1
day,”,1
day-school,1
day.”,1
days,7
days.”,1
day—”,1
dead,4
deal,12
dear,22
dear!’,1
dear!”,3
dear,”,1
dear?”,1
dears,3
death.’”,1
decided,3
decidedly,4
declare,2
declared,1
deductible,1
deep,7
deepest,1
deeply,4
defect,3
defective,3
defects,1
delay,1
deletions,1
delight,3
delighted,2
delightful,2
demand,1
denial,1
denied,2
denies,1
deny,2
denying,1
depends,2
derision.”,1
derivative,3
derive,1
derived,1
described,1
deserved,1
despair,1
desperate,1
desperately,1
despite,1
destroy,2
detach,1
determine,1
diamonds,1
dibianca,1
did,55
did!”,1
did,”,3
didn’t,11
didn’t!”,2
didn’t,”,1
die,1
died,1
different,7
different!”,2
different,”,1
difficult,2
difficulties,1
difficulty,4
dig,1
digging,3
diligently,1
dinah,10
dinah!”,1
dinah’ll,1
dinn,1
dinner,1
dinner!”,1
dinn—”,1
dipped,2
direct,1
directed,2
direction,3
direction,”,2
directions,3
directly,3
disagree,1
disappeared,2
disappointment,1
disclaim,1
disclaimer,3
disclaimers,1
discontinue,1
discover,1
discovered,1
disgust,1
dish,4
dishes,2
disk,1
dismay,1
disobey,1
display,1
displayed,1
displaying,4
dispute,2
distance,7
distance—but,1
distant,2
distraction,1
distribute,6
distributed,4
distributing,7
distribution,6
distributor,1
dive,1
do,77
do!”,3
do,”,4
do.’,1
do.”,2
do:—,1
do?”,1
dodged,1
dodo,13
does,8
does.”,1
doesn’t,16
dog,2
dogs,1
dogs.”,1
dogs?”,1
dog’s,1
doing,3
doing!”,1
doing?”,1
domain,2
donate,3
donation,1
donations,15
done,12
done,”,2
done.”,1
donors,1
don’t,53
don’t!”,1
door,28
doors,2
doorway,1
door—,1
door—i,1
dormouse,36
dormouse!”,1
dormouse,”,2
dormouse’s,1
doth,3
double,1
doubled-up,1
doubling,1
doubt,4
doubtful,2
doubtfully,2
down,98
down!”,1
down,”,3
downloading,1
downward,1
